art,name,strasse,plz,ort,telefon,email,traeger,bezirk
hort,Caritas Hort,Schulgasse 23,4950,Altheim,0676/8776-5911,hort.altheim@caritas-ooe.at,Caritas,Braunau
krabbelstube,Caritas Krabbelstube,Wiesnerstraße 3,4950,Altheim,0676/8776-5922,krabbelstube.altheim@caritas-ooe.at,Caritas,Braunau
kindergarten,Pfarrcaritas Kindergarten,Bettmesserstraße  6,4950,Altheim,07723/42 798,KG404244@pfarrcaritas-kita.at,Pfarrcaritas,Braunau
kindergarten,Pfarrcaritas Kindergarten,Wiesnerstraße 3,4950,Altheim,07723/44 444,KG404245@pfarrcaritas-kita.at,Pfarrcaritas,Braunau
kindergarten,Pfarrcaritas Kindergarten,Nr. 19,5251,Höhnhart,07755/7595,KG404247@pfarrcaritas-kita.at,Pfarrcaritas,Braunau
krabbelstube,Pfarrcaritas Krabbelstube,Nr. 19,5251,Höhnhart,07755/7595,KS404119@pfarrcaritas-kita.at,Pfarrcaritas,Braunau
kindergarten,Caritas Kindergarten,Mattseerstraße 6,5230,Mattighofen,07742/2649,kindergarten.mattighofen@caritas-ooe.at,Caritas,Braunau
kindergarten,Pfarrcaritas Kindergarten,Untermarkt 36,5270,Mauerkirchen,07724/2203,KG404250@pfarrcaritas-kita.at,Pfarrcaritas,Braunau
krabbelstube,Pfarrcaritas Krabbelstube,Untermarkt 36,5270,Mauerkirchen,07724/2203,KS404110@pfarrcaritas-kita.at,Pfarrcaritas,Braunau
kindergarten,Pfarrcaritas Kindergarten,Bradirn 102,5222,Munderfing Waldgruppe,07744/20031,KG404001@pfarrcaritas-kita.at,Pfarrcaritas,Braunau
kindergarten,Pfarrcaritas Kindergarten,Nr. 58,5222,Munderfing,07744/20293,KG404251@pfarrcaritas-kita.at,Pfarrcaritas,Braunau
kindergarten,Pfarrcaritas Kindergarten,Pichl 9,5145,Neukirchen/Enknach,0676-824445-07,KG404253@pfarrcaritas-kita.at,Pfarrcaritas,Braunau
krabbelstube,Pfarrcaritas Krabbelstube,Pichl 9,5145,Neukirchen/Enknach,0676-82444507,KS404112@pfarrcaritas-kita.at,Pfarrcaritas,Braunau
kindergarten,Pfarrcaritas Kindergarten,Bernhoferstraße 22,5261,Uttendorf,07724/2814,KG404246@pfarrcaritas-kita.at,Pfarrcaritas,Braunau
