art,name,weburl,contact_name,strasse,plz,ort,telefon,email,traeger,anmeldung_url,anmeldung_krabbelstube_url,anmeldung_kindergarten_url
kindergarten,Krabbelstube & Kindergarten Gmunden,https://ooe.familienbund.at/betreuung/krabbelstube-kindergarten-gmunden/,,,,,Tel: 0732 / 60 30 60,krabbelstube.gmunden@ooe.familienbund.at,Familienbund OÖ,,,
kindergarten,Kindergarten & Krabbelstube Hargelsberg,https://ooe.familienbund.at/betreuung/kindergaerten-krabbelstuben-hargelsberg/,,,,,Tel: 0732 / 60 30 60,Krabbelstube.hargelsberg@ooe.familienbund.at,Familienbund OÖ,,,
kindergarten,Kindergarten Katsdorf – Reiser,https://ooe.familienbund.at/betreuung/kindergaerten-katsdorf-reiser/,,,,,Tel: 0732 / 60 30 60,kibe.reiser@ooe.familienbund.at,Familienbund OÖ,,,
kindergarten,Kindergarten & Krabbelstube Kematen/Krems,https://ooe.familienbund.at/betreuung/krabbelstuben-kematen-krems/,,,,,Tel: 0732 / 60 30 60,kindergarten.kematen@ooe.familienbund.at,Familienbund OÖ,,,
kindergarten,Kindergarten & Krabbelstube Pregarten Althauserstraße,https://ooe.familienbund.at/betreuung/kindergaerten-krabbelstuben-pregarten-althauserstrasse/,,,,,Tel: 0732 / 60 30 60,kindergarten.pregarten-althauser@ooe.familienbund.at,Familienbund OÖ,,,
kindergarten,Kindergarten & Krabbelstube Pregarten Grünbichl,https://ooe.familienbund.at/betreuung/kindergaerten-pregarten-gruenbichl/,,,,,Tel: 0732 / 60 30 60,kindergarten.pregarten-gruenbichl@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Bad Hall,https://ooe.familienbund.at/betreuung/krabbelstuben-bad-hall/,,,,,Tel: 0732 / 60 30 60,Krabbelstube.badhall@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Dietach,https://ooe.familienbund.at/betreuung/krabbelstuben-dietach/,,,,,Tel: 0732 / 60 30 60,krabbelstube.dietach@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube & Kindergarten Gmunden,https://ooe.familienbund.at/betreuung/krabbelstube-kindergarten-gmunden/,,,,,Tel: 0732 / 60 30 60,krabbelstube.gmunden@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Kindergarten & Krabbelstube Hargelsberg,https://ooe.familienbund.at/betreuung/kindergaerten-krabbelstuben-hargelsberg/,,,,,Tel: 0732 / 60 30 60,Krabbelstube.hargelsberg@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Kindergarten & Krabbelstube Kematen/Krems,https://ooe.familienbund.at/betreuung/krabbelstuben-kematen-krems/,,,,,Tel: 0732 / 60 30 60,kindergarten.kematen@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Kirchham,https://ooe.familienbund.at/betreuung/krabbelstuben-kirchham/,,,,,Tel: 0732 / 60 30 60,krabbelstube.kirchham@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Köckendorf,https://ooe.familienbund.at/betreuung/krabbelstuben-koeckendorf/,,,,,Tel: 0732 / 60 30 60,krabbelstube.koeckendorf@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Kronstorf,https://ooe.familienbund.at/betreuung/krabbelstuben-kronstorf/,,,,,Tel: 0732 / 60 30 60,krabbelstube.kronstorf@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Mondseeland,https://ooe.familienbund.at/betreuung/krabbelstuben-mondseeland/,,,,,Tel: 0732 / 60 30 60,krabbelstube.mondseeland@ooe.familienbund.at,Familienbund OÖ,,,
