art,name,weburl,contact_name,strasse,plz,ort,telefon,email,oeffnungszeiten,angebot_art_label,kosten,schliesstage,beschreibung,traeger
hort,Hort Ansfelden,https://kinderfreunde.at/angebote/detail/hort-ansfelden,,Anton-Bruckner-Str. 10,4052,Ansfelden (Volksschule),Elisabeth Vitale Tel: 0699 / 16 88 61 09 E-Mail: hort.ansfelden@kinderfreunde-ooe.at,hort.ansfelden@kinderfreunde-ooe.at,,,,,Elisabeth Vitale Tel: 0699 / 16 88 61 09 E-Mail: hort.ansfelden@kinderfreunde-ooe.at,Kinderfreunde
hort,Hort Braunau,https://kinderfreunde.at/angebote/detail/hort-braunau,,,,,Dominika Kubisova Tel: 0699 / 16 88 62 38 E-Mail: hort.braunau@kinderfreunde-ooe.at,hort.braunau@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Dominika Kubisova Tel: 0699 / 16 88 62 38 E-Mail: hort.braunau@kinderfreunde-ooe.at,Kinderfreunde
hort,"Hort Eferding - Gruppe 1, 2, 3 und Büro Leitung",https://kinderfreunde.at/angebote/detail/hort-eferding-gruppe-3-4-5-und-buro-leitung,,,,,Dana Kozlica Tel: 0699 / 16 88 61 15 E-Mail: hort.eferding@kinderfreunde-ooe.at,hort.eferding@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,"Kinder wollen nach der Schule spielen, Spaß und auch ihre Ruhe haben. Diese Bedürfnisse müssen erfüllt werden, damit dann die Kinder wieder genug Energie haben, um sich an ihre Hausübung zu machen und zu lernen. Der Hort ist also kein Ort der Nachhilfe, sondern ein Platz, an dem Schulkinder ihren Nachmittag sinnvoll verbringen können indem Zeiten des Spielens sich mit Zeiten des Lernens abwechseln.",Kinderfreunde
hort,"Hort Eferding - Gruppe 4, 5 und 6",https://kinderfreunde.at/angebote/detail/hort-eferding-gruppe-1-2-und-6,,,,,Dana Kozlica Tel: 0699 / 168 86 115 E-Mail: hort.eferding@kinderfreunde.cc,hort.eferding@kinderfreunde.cc,,,Kosten: auf Anfrage,,"Kinder wollen nach der Schule spielen, Spaß und auch ihre Ruhe haben. Diese Bedürfnisse müssen erfüllt werden, damit dann die Kinder wieder genug Energie haben, um sich an ihre Hausübung zu machen und zu lernen. Der Hort ist also kein Ort der Nachhilfe, sondern ein Platz, an dem Schulkinder ihren Nachmittag sinnvoll verbringen können indem Zeiten des Spielens sich mit Zeiten des Lernens abwechseln.",Kinderfreunde
hort,Hort Grünau,https://kinderfreunde.at/angebote/detail/hort-grunau,,,,,Sarah Raberger Tel: 0699 / 16 88 61 56 E-Mail: hort.gruenau@kinderfreunde-ooe.at,hort.gruenau@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,"Kinder wollen nach der Schule spielen, Spaß und auch ihre Ruhe haben. Diese Bedürfnisse müssen erfüllt werden, damit dann die Kinder wieder genug Energie haben, um sich an ihre Hausübung zu machen und zu lernen. Der Hort ist also kein Ort der Nachhilfe, sondern ein Platz, an dem Schulkinder ihren Nachmittag sinnvoll verbringen können indem Zeiten des Spielens sich mit Zeiten des Lernens abwechseln.",Kinderfreunde
hort,Hort Gutau,https://kinderfreunde.at/angebote/detail/hort-gutau,,,,,"Ursula Doughty, , BEd Tel: 0699 / 16 88 61 44 E-Mail: hort.gutau@kinderfreunde-ooe.at",hort.gutau@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,"Ursula Doughty, , BEd Tel: 0699 / 16 88 61 44 E-Mail: hort.gutau@kinderfreunde-ooe.at",Kinderfreunde
hort,Hort Haid,https://kinderfreunde.at/angebote/detail/hort-haid,,,,,"Anna-Sophie Macher, , BEd Tel: 0699 / 16 88 61 01 E-Mail: hort.haid@kinderfreunde-ooe.at",hort.haid@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,"Anna-Sophie Macher, , BEd Tel: 0699 / 16 88 61 01 E-Mail: hort.haid@kinderfreunde-ooe.at",Kinderfreunde
hort,Hort Hallstatt,https://kinderfreunde.at/angebote/detail/hort-hallstatt,,,,,Bianca Panzl Tel: 0699 16 88 62 40 E-Mail: hort.hallstatt@kinderfreunde-ooe.at,hort.hallstatt@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,an gesetzlichen Feiertagen drei Wochen im Sommer während der Sommerferien. wenn kein Kind eine Betreuung an den schulfreien Tagen benötigt.,Kinderfreunde
hort,Hort Kirchberg-Thening,https://kinderfreunde.at/angebote/detail/hort-kirchberg-thening,,,,,Vanessa Landl Tel: 0664 / 47 25 213 E-Mail: hort.kirchberg-thening@kinderfreunde-ooe.at,hort.kirchberg-thening@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Vanessa Landl Tel: 0664 / 47 25 213 E-Mail: hort.kirchberg-thening@kinderfreunde-ooe.at,Kinderfreunde
hort,Hort Kirchdorf,https://kinderfreunde.at/angebote/detail/hort-kirchdorf,,,,,Ingeborg Pöllhuber Tel: 0699 / 16 88 61 50 E-Mail: hort.kirchdorf@kinderfreunde-ooe.at,hort.kirchdorf@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Ingeborg Pöllhuber Tel: 0699 / 16 88 61 50 E-Mail: hort.kirchdorf@kinderfreunde-ooe.at,Kinderfreunde
