kennzahl,name,langtext,strasse,hausnr,plz,ort,gemeindenummer,telefon,email,weburl,art,bezirk
401007,Early Learning Center,at Anton Bruckner International School,Wildbergstraße,18,4040,Linz,40101,0732/711691,office@abis.school,https://www.abis.school,Kindergarten,401
401101,Krabbelstube Allendeplatz,,Allendeplatz,4,4030,Linz,40101,0732/311744,kindergarten.allendeplatz@mag.linz.at,https://www.linz.at,Krabbelstube,401
401102,Krabbelstube Anastasius-Grün-Straße,,Anastasius-Grün-Straße,4,4020,Linz,40101,0732/651572-31,krabbelstube.agruenstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401103,Krabbelstube Leonfeldner Str. 99d,,Leonfeldner Straße,99d,4040,Linz,40101,0732/733218,kindergarten.leonfeldnerstrasse99d@mag.linz.at,https://www.linz.at,Krabbelstube,401
401104,Krabbelstube Bürgerstraße,,Bürgerstraße,44,4020,Linz,40101,0732/606358,kindergarten.buergerstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401105,Krabbelstube Freistädter Straße,,Freistädter Straße,42,4040,Linz,40101,0732/731197,krabbelstube.freistaedterstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401106,Krabbelstube Hofmannsthalweg,,Hofmannsthalweg,10a,4030,Linz,40101,0732/309231,kindergarten.hofmannsthalweg@mag.linz.at,https://www.linz.at,Krabbelstube,401
401107,Krabbelstube J.W. Kleinstraße,,J.W. Kleinstraße,60,4040,Linz,40101,0732/243048,kindergarten.kleinstrasse60@mag.linz.at,https://www.linz.at,Krabbelstube,401
401108,Krabbelstube Helmholtzstraße,,Helmholtzstraße,24,4020,Linz,40101,0732/371361,kindergarten.helmholtzstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401109,Krabbelstube Leonfeldner Straße,,Leonfeldner Straße,100a,4040,Linz,40101,0732/730817,krabbelstube.leonfeldnerstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401110,Krabbelstube Reischekstraße,,Reischekstraße,10,4020,Linz,40101,0732/778117,kindergarten.reischekstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
